rnk,failures,asset_id,name,group_name
1,574,1,5310B9D7,FGHQWR2Q
2,573,1,5310B9D7,FGHQWR2Q
3,570,1,5310B9D7,FGHQWR2Q
3,570,1,5310B9D7,FGHQWR2Q
5,567,1,5310B9D7,FGHQWR2Q
6,559,1,5310B9D7,FGHQWR2Q
7,556,1,5310B9D7,FGHQWR2Q
8,555,1,5310B9D7,FGHQWR2Q
8,555,1,5310B9D7,FGHQWR2Q
10,552,1,5310B9D7,FGHQWR2Q
10,552,1,5310B9D7,FGHQWR2Q
12,549,1,5310B9D7,FGHQWR2Q
13,546,1,5310B9D7,FGHQWR2Q
13,546,1,5310B9D7,FGHQWR2Q
15,544,1,5310B9D7,FGHQWR2Q
16,542,1,5310B9D7,FGHQWR2Q
16,542,1,5310B9D7,FGHQWR2Q
16,542,1,5310B9D7,FGHQWR2Q
16,542,1,5310B9D7,FGHQWR2Q
16,542,1,5310B9D7,FGHQWR2Q
21,541,1,5310B9D7,FGHQWR2Q
21,541,1,5310B9D7,FGHQWR2Q
21,541,1,5310B9D7,FGHQWR2Q
21,541,1,5310B9D7,FGHQWR2Q
21,541,1,5310B9D7,FGHQWR2Q
26,540,1,5310B9D7,FGHQWR2Q
26,540,1,5310B9D7,FGHQWR2Q
28,539,1,5310B9D7,FGHQWR2Q
28,539,1,5310B9D7,FGHQWR2Q
28,539,1,5310B9D7,FGHQWR2Q
31,538,1,5310B9D7,FGHQWR2Q
32,537,1,5310B9D7,FGHQWR2Q
32,537,1,5310B9D7,FGHQWR2Q
32,537,1,5310B9D7,FGHQWR2Q
32,537,1,5310B9D7,FGHQWR2Q
32,537,1,5310B9D7,FGHQWR2Q
37,536,1,5310B9D7,FGHQWR2Q
37,536,1,5310B9D7,FGHQWR2Q
39,535,1,5310B9D7,FGHQWR2Q
39,535,1,5310B9D7,FGHQWR2Q
39,535,1,5310B9D7,FGHQWR2Q
39,535,1,5310B9D7,FGHQWR2Q
39,535,1,5310B9D7,FGHQWR2Q
39,535,1,5310B9D7,FGHQWR2Q
45,534,1,5310B9D7,FGHQWR2Q
45,534,1,5310B9D7,FGHQWR2Q
45,534,1,5310B9D7,FGHQWR2Q
45,534,1,5310B9D7,FGHQWR2Q
49,533,1,5310B9D7,FGHQWR2Q
49,533,1,5310B9D7,FGHQWR2Q
49,533,1,5310B9D7,FGHQWR2Q
49,533,1,5310B9D7,FGHQWR2Q
49,533,1,5310B9D7,FGHQWR2Q
54,532,1,5310B9D7,FGHQWR2Q
54,532,1,5310B9D7,FGHQWR2Q
54,532,1,5310B9D7,FGHQWR2Q
57,531,1,5310B9D7,FGHQWR2Q
57,531,1,5310B9D7,FGHQWR2Q
57,531,1,5310B9D7,FGHQWR2Q
60,530,1,5310B9D7,FGHQWR2Q
60,530,1,5310B9D7,FGHQWR2Q
60,530,1,5310B9D7,FGHQWR2Q
63,529,1,5310B9D7,FGHQWR2Q
63,529,1,5310B9D7,FGHQWR2Q
63,529,1,5310B9D7,FGHQWR2Q
66,528,1,5310B9D7,FGHQWR2Q
66,528,1,5310B9D7,FGHQWR2Q
66,528,1,5310B9D7,FGHQWR2Q
66,528,1,5310B9D7,FGHQWR2Q
66,528,1,5310B9D7,FGHQWR2Q
71,527,1,5310B9D7,FGHQWR2Q
71,527,1,5310B9D7,FGHQWR2Q
71,527,1,5310B9D7,FGHQWR2Q
71,527,1,5310B9D7,FGHQWR2Q
75,526,1,5310B9D7,FGHQWR2Q
75,526,1,5310B9D7,FGHQWR2Q
75,526,1,5310B9D7,FGHQWR2Q
75,526,1,5310B9D7,FGHQWR2Q
75,526,1,5310B9D7,FGHQWR2Q
75,526,1,5310B9D7,FGHQWR2Q
75,526,1,5310B9D7,FGHQWR2Q
82,525,1,5310B9D7,FGHQWR2Q
82,525,1,5310B9D7,FGHQWR2Q
82,525,1,5310B9D7,FGHQWR2Q
82,525,1,5310B9D7,FGHQWR2Q
82,525,1,5310B9D7,FGHQWR2Q
87,524,1,5310B9D7,FGHQWR2Q
87,524,1,5310B9D7,FGHQWR2Q
87,524,1,5310B9D7,FGHQWR2Q
87,524,1,5310B9D7,FGHQWR2Q
87,524,1,5310B9D7,FGHQWR2Q
87,524,1,5310B9D7,FGHQWR2Q
93,523,1,5310B9D7,FGHQWR2Q
93,523,1,5310B9D7,FGHQWR2Q
93,523,1,5310B9D7,FGHQWR2Q
93,523,1,5310B9D7,FGHQWR2Q
93,523,1,5310B9D7,FGHQWR2Q
93,523,1,5310B9D7,FGHQWR2Q
93,523,1,5310B9D7,FGHQWR2Q
93,523,1,5310B9D7,FGHQWR2Q
93,523,1,5310B9D7,FGHQWR2Q
93,523,1,5310B9D7,FGHQWR2Q
93,523,1,5310B9D7,FGHQWR2Q
93,523,1,5310B9D7,FGHQWR2Q
93,523,1,5310B9D7,FGHQWR2Q
93,523,1,5310B9D7,FGHQWR2Q
107,522,1,5310B9D7,FGHQWR2Q
107,522,1,5310B9D7,FGHQWR2Q
107,522,1,5310B9D7,FGHQWR2Q
107,522,1,5310B9D7,FGHQWR2Q
107,522,1,5310B9D7,FGHQWR2Q
112,521,1,5310B9D7,FGHQWR2Q
112,521,1,5310B9D7,FGHQWR2Q
112,521,1,5310B9D7,FGHQWR2Q
112,521,1,5310B9D7,FGHQWR2Q
112,521,1,5310B9D7,FGHQWR2Q
112,521,1,5310B9D7,FGHQWR2Q
112,521,1,5310B9D7,FGHQWR2Q
119,520,1,5310B9D7,FGHQWR2Q
119,520,1,5310B9D7,FGHQWR2Q
119,520,1,5310B9D7,FGHQWR2Q
119,520,1,5310B9D7,FGHQWR2Q
119,520,1,5310B9D7,FGHQWR2Q
119,520,1,5310B9D7,FGHQWR2Q
119,520,1,5310B9D7,FGHQWR2Q
119,520,1,5310B9D7,FGHQWR2Q
119,520,1,5310B9D7,FGHQWR2Q
119,520,1,5310B9D7,FGHQWR2Q
129,519,1,5310B9D7,FGHQWR2Q
129,519,1,5310B9D7,FGHQWR2Q
129,519,1,5310B9D7,FGHQWR2Q
129,519,1,5310B9D7,FGHQWR2Q
129,519,1,5310B9D7,FGHQWR2Q
129,519,1,5310B9D7,FGHQWR2Q
135,518,1,5310B9D7,FGHQWR2Q
135,518,1,5310B9D7,FGHQWR2Q
135,518,1,5310B9D7,FGHQWR2Q
135,518,1,5310B9D7,FGHQWR2Q
135,518,1,5310B9D7,FGHQWR2Q
135,518,1,5310B9D7,FGHQWR2Q
135,518,1,5310B9D7,FGHQWR2Q
135,518,1,5310B9D7,FGHQWR2Q
135,518,1,5310B9D7,FGHQWR2Q
135,518,1,5310B9D7,FGHQWR2Q
135,518,1,5310B9D7,FGHQWR2Q
135,518,1,5310B9D7,FGHQWR2Q
147,517,1,5310B9D7,FGHQWR2Q
147,517,1,5310B9D7,FGHQWR2Q
147,517,1,5310B9D7,FGHQWR2Q
147,517,1,5310B9D7,FGHQWR2Q
147,517,1,5310B9D7,FGHQWR2Q
147,517,1,5310B9D7,FGHQWR2Q
153,516,1,5310B9D7,FGHQWR2Q
153,516,1,5310B9D7,FGHQWR2Q
153,516,1,5310B9D7,FGHQWR2Q
153,516,1,5310B9D7,FGHQWR2Q
153,516,1,5310B9D7,FGHQWR2Q
153,516,1,5310B9D7,FGHQWR2Q
153,516,1,5310B9D7,FGHQWR2Q
153,516,1,5310B9D7,FGHQWR2Q
153,516,1,5310B9D7,FGHQWR2Q
162,515,1,5310B9D7,FGHQWR2Q
162,515,1,5310B9D7,FGHQWR2Q
162,515,1,5310B9D7,FGHQWR2Q
162,515,1,5310B9D7,FGHQWR2Q
162,515,1,5310B9D7,FGHQWR2Q
162,515,1,5310B9D7,FGHQWR2Q
162,515,1,5310B9D7,FGHQWR2Q
169,514,1,5310B9D7,FGHQWR2Q
169,514,1,5310B9D7,FGHQWR2Q
169,514,1,5310B9D7,FGHQWR2Q
169,514,1,5310B9D7,FGHQWR2Q
173,513,1,5310B9D7,FGHQWR2Q
173,513,1,5310B9D7,FGHQWR2Q
173,513,1,5310B9D7,FGHQWR2Q
173,513,1,5310B9D7,FGHQWR2Q
173,513,1,5310B9D7,FGHQWR2Q
173,513,1,5310B9D7,FGHQWR2Q
173,513,1,5310B9D7,FGHQWR2Q
173,513,1,5310B9D7,FGHQWR2Q
173,513,1,5310B9D7,FGHQWR2Q
173,513,1,5310B9D7,FGHQWR2Q
183,512,1,5310B9D7,FGHQWR2Q
183,512,1,5310B9D7,FGHQWR2Q
183,512,1,5310B9D7,FGHQWR2Q
183,512,1,5310B9D7,FGHQWR2Q
183,512,1,5310B9D7,FGHQWR2Q
183,512,1,5310B9D7,FGHQWR2Q
183,512,1,5310B9D7,FGHQWR2Q
183,512,1,5310B9D7,FGHQWR2Q
191,511,1,5310B9D7,FGHQWR2Q
191,511,1,5310B9D7,FGHQWR2Q
191,511,1,5310B9D7,FGHQWR2Q
191,511,1,5310B9D7,FGHQWR2Q
191,511,1,5310B9D7,FGHQWR2Q
191,511,1,5310B9D7,FGHQWR2Q
191,511,1,5310B9D7,FGHQWR2Q
191,511,1,5310B9D7,FGHQWR2Q
191,511,1,5310B9D7,FGHQWR2Q
191,511,1,5310B9D7,FGHQWR2Q
191,511,1,5310B9D7,FGHQWR2Q
191,511,1,5310B9D7,FGHQWR2Q
191,511,1,5310B9D7,FGHQWR2Q
191,511,1,5310B9D7,FGHQWR2Q
205,510,1,5310B9D7,FGHQWR2Q
205,510,1,5310B9D7,FGHQWR2Q
205,510,1,5310B9D7,FGHQWR2Q
205,510,1,5310B9D7,FGHQWR2Q
205,510,1,5310B9D7,FGHQWR2Q
205,510,1,5310B9D7,FGHQWR2Q
205,510,1,5310B9D7,FGHQWR2Q
205,510,1,5310B9D7,FGHQWR2Q
205,510,1,5310B9D7,FGHQWR2Q
205,510,1,5310B9D7,FGHQWR2Q
205,510,1,5310B9D7,FGHQWR2Q
205,510,1,5310B9D7,FGHQWR2Q
217,509,1,5310B9D7,FGHQWR2Q
217,509,1,5310B9D7,FGHQWR2Q
217,509,1,5310B9D7,FGHQWR2Q
217,509,1,5310B9D7,FGHQWR2Q
217,509,1,5310B9D7,FGHQWR2Q
217,509,1,5310B9D7,FGHQWR2Q
217,509,1,5310B9D7,FGHQWR2Q
217,509,1,5310B9D7,FGHQWR2Q
217,509,1,5310B9D7,FGHQWR2Q
217,509,1,5310B9D7,FGHQWR2Q
217,509,1,5310B9D7,FGHQWR2Q
228,508,1,5310B9D7,FGHQWR2Q
228,508,1,5310B9D7,FGHQWR2Q
228,508,1,5310B9D7,FGHQWR2Q
228,508,1,5310B9D7,FGHQWR2Q
228,508,1,5310B9D7,FGHQWR2Q
228,508,1,5310B9D7,FGHQWR2Q
228,508,1,5310B9D7,FGHQWR2Q
228,508,1,5310B9D7,FGHQWR2Q
228,508,1,5310B9D7,FGHQWR2Q
228,508,1,5310B9D7,FGHQWR2Q
238,507,1,5310B9D7,FGHQWR2Q
238,507,1,5310B9D7,FGHQWR2Q
238,507,1,5310B9D7,FGHQWR2Q
238,507,1,5310B9D7,FGHQWR2Q
238,507,1,5310B9D7,FGHQWR2Q
238,507,1,5310B9D7,FGHQWR2Q
238,507,1,5310B9D7,FGHQWR2Q
238,507,1,5310B9D7,FGHQWR2Q
238,507,1,5310B9D7,FGHQWR2Q
238,507,1,5310B9D7,FGHQWR2Q
248,506,1,5310B9D7,FGHQWR2Q
248,506,1,5310B9D7,FGHQWR2Q
248,506,1,5310B9D7,FGHQWR2Q
248,506,1,5310B9D7,FGHQWR2Q
248,506,1,5310B9D7,FGHQWR2Q
248,506,1,5310B9D7,FGHQWR2Q
248,506,1,5310B9D7,FGHQWR2Q
248,506,1,5310B9D7,FGHQWR2Q
248,506,1,5310B9D7,FGHQWR2Q
257,505,1,5310B9D7,FGHQWR2Q
257,505,1,5310B9D7,FGHQWR2Q
257,505,1,5310B9D7,FGHQWR2Q
257,505,1,5310B9D7,FGHQWR2Q
257,505,1,5310B9D7,FGHQWR2Q
257,505,1,5310B9D7,FGHQWR2Q
257,505,1,5310B9D7,FGHQWR2Q
257,505,1,5310B9D7,FGHQWR2Q
257,505,1,5310B9D7,FGHQWR2Q
257,505,1,5310B9D7,FGHQWR2Q
257,505,1,5310B9D7,FGHQWR2Q
257,505,1,5310B9D7,FGHQWR2Q
269,504,1,5310B9D7,FGHQWR2Q
269,504,1,5310B9D7,FGHQWR2Q
269,504,1,5310B9D7,FGHQWR2Q
269,504,1,5310B9D7,FGHQWR2Q
269,504,1,5310B9D7,FGHQWR2Q
269,504,1,5310B9D7,FGHQWR2Q
269,504,1,5310B9D7,FGHQWR2Q
269,504,1,5310B9D7,FGHQWR2Q
269,504,1,5310B9D7,FGHQWR2Q
269,504,1,5310B9D7,FGHQWR2Q
